Название,Артикул,Категория,Цена без карты,Цена с картой
Мастика DOCKE Для гибкой черепицы 5л,10362001,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",1 367.20 ₽,1 298.84 ₽
Лента NICOBAND Duo 100х10см 360328,18899601,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",804.78 ₽,764.54 ₽
Снегозадержатель BORGE Трубчатый 4 опоры тёмно-зеленый,17422901,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель DOCKE шоколад,10362201,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",54.03 ₽,51.33 ₽
Снегозадержатель BORGE Трубчатый 4 опоры кирпично-красный,17423001,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры красное вино,17423101,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры коричнево-красный,17423201,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры серо-коричневый,17423301,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры сигнально-синий,17423401,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры серый графит,17423601,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры зелёный мох,17423501,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры терракотовый,17423701,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Кровельное ограждение BORGE Зелёный мох 90см,17426401,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",4 599.00 ₽,4 369.05 ₽
Кровельное ограждение BORGE Серо-коричневый 90см,17426301,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",4 599.00 ₽,4 369.05 ₽
Снегозадержатель BORGE Трубчатый 4 опоры коричневый шоколад,17423801,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры зелёный мох,17426701,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры красное вино,17426901,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры коричневый шоколад,17426801,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры окрашенный RR32,17427101,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры окрашенный RAL 7024,17427301,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE Трубчатый для гибкой черепицы 4 опоры окрашенный RAL 8004,17427401,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",3 349.00 ₽,3 181.55 ₽
Снегозадержатель BORGE New Line Трубчатый 4 опоры зелёный мох,17476601,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",1 049.00 ₽,996.55 ₽
Снегозадержатель BORGE New Line Трубчатый 4 опоры красное вино,17476701,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",1 049.00 ₽,996.55 ₽
Снегозадержатель BORGE Трубчатый New Line 4 опоры коричневый шоколад,17162501,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",1 060.58 ₽,954.52 ₽
"Металлочерепица Супермонтеррей RAL6005 зелёный мох 1550х1180х0,4мм",7148301,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",756.00 ₽,718.20 ₽
Планка примыкания верхняя К-501 оцинкованная 2000мм,12732601,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",396.00 ₽,376.20 ₽
"Металлочерепица Супермонтеррей RAL3005 красное вино 1550х1180х0,4мм",11220901,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",763.00 ₽,724.85 ₽
"Металлочерепица Супермонтеррей RAL6005 зелёный мох 2250x1180х0,4мм",7148401,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",1 121.00 ₽,1 064.95 ₽
"Металлочерепица Супермонтеррей RAL8017 шоколад 2250x1180х0,4мм",7148601,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",1 161.00 ₽,1 102.95 ₽
"Металлочерепица Супермонтеррей RAL8017 шоколадная 1550х1180х0,4мм",7148501,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",756.00 ₽,718.20 ₽
"Металлочерепица Супермонтеррей RAL3005 красное вино 2250х1180х0,4мм",11221001,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",1 121.00 ₽,1 064.95 ₽
Ендова нижняя К-510 оцинкованная 2000мм,12724701,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",556.00 ₽,528.20 ₽
Ендова верхняя К-508 красная 2000мм,12724801,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",468.00 ₽,444.60 ₽
Ендова верхняя К-508 шоколадная 2000мм,12725101,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",477.00 ₽,453.15 ₽
Конек фигурный RAL6005 зелёный 2000мм,12725401,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",489.00 ₽,464.55 ₽
Конёк фигурный RAL3005 красный 2000мм,12725201,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",492.00 ₽,467.40 ₽
Ендова верхняя К-508 зелёная 2000мм,12725001,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",477.00 ₽,453.15 ₽
